,GrC_Subject23_250116A,GrC_Subject07_100918,GrC_Subject13_161018,GrC_Subject11_131115,GrC_Subject17_180918A,GrC_Subject17_180918B,GrC_Subject28_240216A,GrC_Subject28_240216B,GrC_Subject14_161115,GrC_Subject27_230216,GrC_Subject19_190918,GrC_Subject18_190618,GrC_Subject22_220118,GrC_Subject16_180118,GrC_Subject05_080316,GrC_Subject21_200918,GrC_Subject12_151018,GrC_Subject10_111018,GrC_Subject03_060918,GrC_Subject02_050918,GrC_Subject24_260116,GrC_Subject08_101018A,GrC_Subject08_101018B,GrC_Subject25_270116,GrC_Subject06_090216,GrC_Subject15_180116,GrC_Subject01_010818,GrC_Subject04_070918,GrC_Subject20_191018
0,0,1,2,0,2,0,2,3,1,0,0,3,2,1,1,0,0,3,2,0,2,1,1,0,0,1,2,1,3
1,2,1,1,1,3,2,2,0,0,2,2,3,3,0,3,3,1,1,0,2,1,3,3,3,2,1,0,0,0
2,2,0,2,0,1,2,2,1,1,2,2,1,0,1,0,0,0,1,1,2,0,1,0,1,2,2,1,1,1
3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,1,0,2,3
